participantnum,stimulusid,stimulustype,state_or_event,orientation,position,length,delay,response
28,branch_RTLE2,dualbranch,event,left,bottom,long,4.0,RC
28,chain_RL,chain,,left,,long,,otherC
28,branch_RTME2,dualbranch,event,left,bottom,medium,4.0,otherC
28,chain_RM,chain,,left,,medium,,otherC
28,branch_RTSE2,dualbranch,event,left,top,short,4.0,otherD
28,branch_RTSE3,dualbranch,event,left,bottom,short,6.0,otherC
28,branch_RTME3,dualbranch,event,left,top,medium,6.0,otherD
28,branch_RTSE1,dualbranch,event,left,top,short,2.0,otherD
28,branch_RTLE1,dualbranch,event,left,top,long,2.0,otherD
28,branch_RTLS,dualbranch,state,left,top,long,,otherD
28,chain_RS,chain,,left,,short,,otherC
28,branch_RTLE3,dualbranch,event,left,top,long,6.0,otherD
28,branch_RTSS,dualbranch,state,left,top,short,,otherD
28,branch_RTME1,dualbranch,event,left,bottom,medium,2.0,otherC
29,chain_RM,chain,,left,,medium,,RC
29,branch_RTMS,dualbranch,state,left,top,medium,,RC
29,branch_RTLE2,dualbranch,event,left,bottom,long,4.0,RC
29,branch_RTME3,dualbranch,event,left,top,medium,6.0,RC
29,branch_RTME2,dualbranch,event,left,bottom,medium,4.0,RC
29,branch_RTLS,dualbranch,state,left,bottom,long,,RC
29,branch_RTSS,dualbranch,state,left,bottom,short,,RC_IC
29,chain_RS,chain,,left,,short,,RC_IC
29,branch_RTLE3,dualbranch,event,left,bottom,long,6.0,RC
29,branch_RTSE3,dualbranch,event,left,bottom,short,6.0,RC_IC
29,branch_RTLE1,dualbranch,event,left,bottom,long,2.0,RC
29,chain_RL,chain,,left,,long,,RC
29,branch_RTSE2,dualbranch,event,left,bottom,short,4.0,RC_IC
29,branch_RTSE1,dualbranch,event,left,bottom,short,2.0,RC_IC
29,branch_RTME1,dualbranch,event,left,top,medium,2.0,RC
30,chain_RL,chain,,right,,long,,otherC
30,chain_RS,chain,,right,,short,,otherC
30,branch_RTLE3,dualbranch,event,right,top,long,6.0,otherD
30,branch_RTSS,dualbranch,state,right,bottom,short,,RD_ID
30,branch_RTLE2,dualbranch,event,right,bottom,long,4.0,GCM
30,branch_RTLS,dualbranch,state,right,bottom,long,,GCM
