subject_id,stimulus,trial_type,time_elapsed,gender,age,language,country,sampling,turkcode,nb_of_run,rt,responses,stim_type,rolled_OR_unrolled,A_branch_loc,A_detectors,state_OR_event,state_branch,root_1st,imdt_2nd,node_selected
1,instruction,causal-graph1,7930,male,25,English,American Samoa,Right,R563014957130gxrw,,,,,,,,,,,,
1,instruction,causal-graph1,14973,male,25,English,American Samoa,Right,R563014957130gxrw,,,,,,,,,,,,
1,instruction,causal-graph1,26192,male,25,English,American Samoa,Right,R563014957130gxrw,1.0,,,,,,,,,,,
1,instruction,causal-graph1,29264,male,25,English,American Samoa,Right,R563014957130gxrw,,,,,,,,,,,,
1,instruction,causal-graph1,34599,male,25,English,American Samoa,Right,R563014957130gxrw,,,,,,,,,,,,
1,instruction,causal-graph1,54490,male,25,English,American Samoa,Right,R563014957130gxrw,2.0,,,,,,,,,,,
1,instruction,causal-graph1,58433,male,25,English,American Samoa,Right,R563014957130gxrw,,,,,,,,,,,,
1,instruction,causal-graph1,79828,male,25,English,American Samoa,Right,R563014957130gxrw,1.0,,,,,,,,,,,
1,instruction,causal-graph3,90476,male,25,English,American Samoa,Right,R563014957130gxrw,1.0,,,,,,,,,,,
1,instruction,causal-graph1,93836,male,25,English,American Samoa,Right,R563014957130gxrw,,,,,,,,,,,,
1,instruction,causal-graph1,106851,male,25,English,American Samoa,Right,R563014957130gxrw,,,,,,,,,,,,
1,instruction,causal-graph1,111641,male,25,English,American Samoa,Right,R563014957130gxrw,,,,,,,,,,,,
1,instruction,survey-multi-choice,144589,male,25,English,American Samoa,Right,R563014957130gxrw,,,"{""Q0"":"" To find out if the Gauge of Critical Moment (G) is activated or not"",""Q1"":"" A detector becomes active if it receives input from an active detector"",""Q2"":"" G becomes active if it absorbs a radioactive particle"",""Q3"":"" Square detectors maintain their activation over time but round detectors do not""}",,,,,,,,,
1,instruction,causal-graph1,153933,male,25,English,American Samoa,Right,R563014957130gxrw,,,,,,,,,,,,
1,instruction,causal-graph1,160754,male,25,English,American Samoa,Right,R563014957130gxrw,,,,,,,,,,,,
1,instruction,causal-graph1,273975,male,25,English,American Samoa,Right,R563014957130gxrw,,,,,,,,,,,,
1,instruction,causal-graph1,282691,male,25,English,American Samoa,Right,R563014957130gxrw,1.0,,,,,,,,,,,
1,instruction,causal-graph1,285015,male,25,English,American Samoa,Right,R563014957130gxrw,,,,,,,,,,,,
1,instruction,causal-graph1,289408,male,25,English,American Samoa,Right,R563014957130gxrw,,,,,,,,,,,,
1,instruction,causal-graph1,298823,male,25,English,American Samoa,Right,R563014957130gxrw,1.0,,,,,,,,,,,
1,instruction,causal-graph1,301850,male,25,English,American Samoa,Right,R563014957130gxrw,,,,,,,,,,,,
1,instruction,causal-graph1,320004,male,25,English,American Samoa,Right,R563014957130gxrw,1.0,,,,,,,,,,,
1,instruction,causal-graph3,335550,male,25,English,American Samoa,Right,R563014957130gxrw,1.0,,,,,,,,,,,
1,instruction,causal-graph1,339234,male,25,English,American Samoa,Right,R563014957130gxrw,,,,,,,,,,,,
1,instruction,causal-graph1,340884,male,25,English,American Samoa,Right,R563014957130gxrw,,,,,,,,,,,,
1,instruction,causal-graph1,351716,male,25,English,American Samoa,Right,R563014957130gxrw,,,,,,,,,,,,
1,instruction,survey-multi-choice,414560,male,25,English,American Samoa,Right,R563014957130gxrw,,,"{""Q0"":"" To decide what caused the activation of G"",""Q1"":"" A detector becomes active if it absorbs a radioactive particle or receives input from an active detector"",""Q2"":"" G becomes active if all of its inputs are active"",""Q3"":"" Square detectors maintain their activation over time but round detectors do not""}",,,,,,,,,
1,instruction,causal-graph1,417402,male,25,English,American Samoa,Right,R563014957130gxrw,,,,,,,,,,,,
1,RBC_RB,causal-graph3,474938,male,25,English,American Samoa,Right,R563014957130gxrw,2.0,5849.000000001979,,AND_Gate,Rolled,Bottom,Circles,State,B,,A,nodeA20
1,UBBS_RB,causal-graph1,502187,male,25,English,American Samoa,Right,R563014957130gxrw,2.0,11440.000000002328,,AND_Gate,Unrolled,Bottom,Squares,Event,,B,B,nodeB19
1,UBAS_RB,causal-graph1,516773,male,25,English,American Samoa,Right,R563014957130gxrw,1.0,11379.000000000815,,AND_Gate,Unrolled,Bottom,Squares,Event,,B,A,nodeA41
1,chainC_RB,causal-graph1,537379,male,25,English,American Samoa,Right,R563014957130gxrw,1.0,13497.000000003027,,ChainC,,Bottom,,,,,,nodeA41
1,chainS_R,causal-graph1,551249,male,25,English,American Samoa,Right,R563014957130gxrw,1.0,9226.999999998952,,ChainS,,,,,,,,nodeB19
1,RBAC_RT,causal-graph3,566679,male,25,English,American Samoa,Right,R563014957130gxrw,1.0,3164.0000000043074,,AND_Gate,Rolled,Top,Circles,Event,,B,A,nodeA20
1,UBS_RB,causal-graph1,580146,male,25,English,American Samoa,Right,R563014957130gxrw,1.0,10314.999999987776,,AND_Gate,Unrolled,Bottom,Squares,State,B,,A,nodeA41
1,RAAC_RT,causal-graph3,594570,male,25,English,American Samoa,Right,R563014957130gxrw,1.0,2309.999999997672,,AND_Gate,Rolled,Top,Circles,Event,,A,A,nodeA20
1,UBC_RB,causal-graph1,607887,male,25,English,American Samoa,Right,R563014957130gxrw,1.0,10301.000000006752,,AND_Gate,Unrolled,Bottom,Circles,State,B,,A,nodeA41
1,UAS_RB,causal-graph1,622448,male,25,English,American Samoa,Right,R563014957130gxrw,1.0,9926.999999996042,,AND_Gate,Unrolled,Bottom,Squares,State,A,,B,nodeB19
1,UABS_RT,causal-graph1,637415,male,25,English,American Samoa,Right,R563014957130gxrw,1.0,11964.99999999651,,AND_Gate,Unrolled,Top,Squares,Event,,A,B,nodeB19
1,UBAC_RB,causal-graph1,664166,male,25,English,American Samoa,Right,R563014957130gxrw,2.0,11703.000000008617,,AND_Gate,Unrolled,Bottom,Circles,Event,,B,A,nodeA41
1,RAC_RT,causal-graph3,685288,male,25,English,American Samoa,Right,R563014957130gxrw,1.0,6956.000000005588,,AND_Gate,Rolled,Top,Circles,State,A,,A,nodeA20
1,UAAS_RB,causal-graph1,699297,male,25,English,American Samoa,Right,R563014957130gxrw,1.0,11559.999999997672,,AND_Gate,Unrolled,Bottom,Squares,Event,,A,A,nodeA41
1,UAAC_RB,causal-graph1,716634,male,25,English,American Samoa,Right,R563014957130gxrw,1.0,14010.000000009311,,AND_Gate,Unrolled,Bottom,Circles,Event,,A,A,nodeA41
1,instruction,causal-graph1,720351,male,25,English,American Samoa,Right,R563014957130gxrw,,,,,,,,,,,,
1,comment,survey-text,735997,male,25,English,American Samoa,Right,R563014957130gxrw,,15614.000000001397,"{""Q0"":""Great work""}",,,,,,,,,
2,instruction,causal-graph1,9214,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,15865,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,34465,male,42,English ,United States of America,Left,R566748237500gxrw,1.0,,,,,,,,,,,
2,instruction,causal-graph1,43502,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,53722,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,66071,male,42,English ,United States of America,Left,R566748237500gxrw,1.0,,,,,,,,,,,
2,instruction,causal-graph1,79860,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,100322,male,42,English ,United States of America,Left,R566748237500gxrw,1.0,,,,,,,,,,,
2,instruction,causal-graph3,123186,male,42,English ,United States of America,Left,R566748237500gxrw,1.0,,,,,,,,,,,
2,instruction,causal-graph1,129035,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,134259,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,147883,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
2,instruction,survey-multi-choice,338379,male,42,English ,United States of America,Left,R566748237500gxrw,,,"{""Q0"":"" To decide what caused the activation of G"",""Q1"":"" A detector becomes active if it absorbs a radioactive particle"",""Q2"":"" G becomes active if all of its inputs are active"",""Q3"":"" Square detectors maintain their activation over time but round detectors do not""}",,,,,,,,,
2,instruction,causal-graph1,342880,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,347563,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,350321,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,355513,male,42,English ,United States of America,Left,R566748237500gxrw,1.0,,,,,,,,,,,
2,instruction,causal-graph1,356401,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,357693,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,363201,male,42,English ,United States of America,Left,R566748237500gxrw,1.0,,,,,,,,,,,
2,instruction,causal-graph1,363881,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,369608,male,42,English ,United States of America,Left,R566748237500gxrw,1.0,,,,,,,,,,,
2,instruction,causal-graph3,375588,male,42,English ,United States of America,Left,R566748237500gxrw,1.0,,,,,,,,,,,
2,instruction,causal-graph1,376454,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,381892,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,382754,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
2,instruction,survey-multi-choice,521208,male,42,English ,United States of America,Left,R566748237500gxrw,,,"{""Q0"":"" To decide what caused the activation of G"",""Q1"":"" A detector becomes active if it absorbs a radioactive particle"",""Q2"":"" G becomes active if all of its inputs are active"",""Q3"":"" Square detectors maintain their activation over time but round detectors do not""}",,,,,,,,,
2,instruction,causal-graph1,522880,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,523836,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,524475,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,528664,male,42,English ,United States of America,Left,R566748237500gxrw,1.0,,,,,,,,,,,
2,instruction,causal-graph1,529301,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,529837,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,535068,male,42,English ,United States of America,Left,R566748237500gxrw,1.0,,,,,,,,,,,
2,instruction,causal-graph1,535682,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,540823,male,42,English ,United States of America,Left,R566748237500gxrw,1.0,,,,,,,,,,,
2,instruction,causal-graph3,546834,male,42,English ,United States of America,Left,R566748237500gxrw,1.0,,,,,,,,,,,
2,instruction,causal-graph1,547474,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,548105,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,548721,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
2,instruction,survey-multi-choice,711837,male,42,English ,United States of America,Left,R566748237500gxrw,,,"{""Q0"":"" To decide what caused the activation of G"",""Q1"":"" A detector becomes active if it absorbs a radioactive particle"",""Q2"":"" G becomes active if all of its inputs are active"",""Q3"":"" Square detectors maintain their activation over time but round detectors do not""}",,,,,,,,,
2,instruction,causal-graph1,713913,male,42,English ,United States of America,Left,R566748237500gxrw,,,,,,,,,,,,
