participantnum,stimulusid,stimulustype,orientation,position,order,response
13,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,RD
13,UABS_RTb,dualbranch,right,top,RD_RC_ID,RC
13,UBBS_RTb,dualbranch,right,top,RC_RD_ID,RD
13,UBS_RTb,dualbranch,right,top,RD_ID_RC,RC
14,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
14,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
14,UBS_RTb,dualbranch,left,top,RD_ID_RC,RC
14,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,RD
14,chainS_Rb,chain,left,,,RC
14,UBAS_RTb,dualbranch,left,top,RD_RC_ID,RC
14,UAAS_RTb,dualbranch,left,top,RC_RD_ID,RD
15,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
15,chainS_Rb,chain,left,,,RC
15,UABS_RTb,dualbranch,left,top,RD_RC_ID,RC
15,UBBS_RTb,dualbranch,left,top,RC_RD_ID,RD
15,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,RD
15,UBS_RTb,dualbranch,left,top,RD_ID_RC,RC
15,UBAS_RTb,dualbranch,left,top,RD_RC_ID,RC
16,UBBS_RTb,dualbranch,right,top,RC_RD_ID,RC
16,UBS_RTb,dualbranch,right,top,RD_ID_RC,RC
16,chainS_Rb,chain,right,,,RC
16,UAAS_RTb,dualbranch,right,top,RC_RD_ID,RC
16,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,RC
16,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,RC
16,UBAS_RTb,dualbranch,right,top,RD_RC_ID,RC
17,UBS_RTb,dualbranch,left,bottom,RD_ID_RC,RD
17,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,RD
17,UBAS_RTb,dualbranch,left,bottom,RD_RC_ID,RD
17,chainS_Rb,chain,left,,,RC
17,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
17,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,RD
17,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
18,UBBS_RTb,dualbranch,right,top,RC_RD_ID,GCM
18,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,GCM
18,UAS_RTb,dualbranch,right,top,RD_ID_RC,GCM
18,UBS_RTb,dualbranch,right,top,RD_ID_RC,GCM
18,UBAS_RTb,dualbranch,right,bottom,RD_RC_ID,GCM
18,UAAS_RTb,dualbranch,right,top,RC_RD_ID,GCM
18,chainS_Rb,chain,right,,,GCM
19,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,IC
19,UBBS_RTb,dualbranch,right,top,RC_RD_ID,IC
19,chainS_Rb,chain,right,,,IC
19,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,IC
19,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,IC
19,UBAS_RTb,dualbranch,right,bottom,RD_RC_ID,IC
19,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,IC
20,UAS_RTb,dualbranch,right,top,RD_ID_RC,RC
20,UBAS_RTb,dualbranch,right,bottom,RD_RC_ID,RD
20,UBBS_RTb,dualbranch,right,top,RC_RD_ID,RC
20,UBS_RTb,dualbranch,right,top,RD_ID_RC,RD
20,UAAS_RTb,dualbranch,right,top,RC_RD_ID,RC
20,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,RD
20,chainS_Rb,chain,right,,,RC
21,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,IC
21,UBAS_RTb,dualbranch,left,bottom,RD_RC_ID,IC
21,chainS_Rb,chain,left,,,IC
21,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,IC
21,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,IC
21,UBS_RTb,dualbranch,left,top,RD_ID_RC,IC
21,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,IC
22,chainS_Rb,chain,right,,,RC
22,UBS_RTb,dualbranch,right,top,RD_ID_RC,RC
22,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,RC
22,UBBS_RTb,dualbranch,right,bottom,RC_RD_ID,RC
22,UBAS_RTb,dualbranch,right,top,RD_RC_ID,RC
22,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,RC
22,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,RC
23,chainS_Rb,chain,right,,,IC
23,UBBS_RTb,dualbranch,right,bottom,RC_RD_ID,IC
23,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,IC
23,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,IC
23,UAAS_RTb,dualbranch,right,top,RC_RD_ID,IC
23,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,IC
23,UBAS_RTb,dualbranch,right,top,RD_RC_ID,IC
24,UAAS_RTb,dualbranch,right,top,RC_RD_ID,IC
24,UBBS_RTb,dualbranch,right,top,RC_RD_ID,IC
24,chainS_Rb,chain,right,,,IC
24,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,IC
24,UABS_RTb,dualbranch,right,top,RD_RC_ID,IC
24,UBAS_RTb,dualbranch,right,top,RD_RC_ID,IC
24,UAS_RTb,dualbranch,right,top,RD_ID_RC,IC
25,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
25,UBAS_RTb,dualbranch,left,top,RD_RC_ID,RC
25,chainS_Rb,chain,left,,,RC
25,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
25,UBBS_RTb,dualbranch,left,top,RC_RD_ID,RC
25,UBS_RTb,dualbranch,left,top,RD_ID_RC,RC
25,UABS_RTb,dualbranch,left,top,RD_RC_ID,RC
26,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,RD
26,UBAS_RTb,dualbranch,right,bottom,RD_RC_ID,RC
26,chainS_Rb,chain,right,,,RC
26,UBBS_RTb,dualbranch,right,top,RC_RD_ID,RC
26,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,RC
26,UABS_RTb,dualbranch,right,top,RD_RC_ID,RC
26,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,RC
27,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,RD
27,UABS_RTb,dualbranch,right,top,RD_RC_ID,RC
27,UBBS_RTb,dualbranch,right,top,RC_RD_ID,RD
27,UBAS_RTb,dualbranch,right,bottom,RD_RC_ID,RC
27,chainS_Rb,chain,right,,,RC
27,UAS_RTb,dualbranch,right,top,RD_ID_RC,RC
27,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,RC
28,UBBS_RTb,dualbranch,right,top,RC_RD_ID,RC
28,UABS_RTb,dualbranch,right,top,RD_RC_ID,RD
28,UAAS_RTb,dualbranch,right,top,RC_RD_ID,RC
28,UBAS_RTb,dualbranch,right,top,RD_RC_ID,RD
28,chainS_Rb,chain,right,,,RC
28,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,RD
28,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,RD
29,UBAS_RTb,dualbranch,right,bottom,RD_RC_ID,RD
29,UAS_RTb,dualbranch,right,top,RD_ID_RC,RD
29,UBBS_RTb,dualbranch,right,top,RC_RD_ID,RC
29,chainS_Rb,chain,right,,,RC
29,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,RD
29,UAAS_RTb,dualbranch,right,top,RC_RD_ID,RD
29,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,RD
30,UAS_RTb,dualbranch,left,top,RD_ID_RC,otherD
30,UBAS_RTb,dualbranch,left,bottom,RD_RC_ID,otherC
30,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,otherD
30,chainS_Rb,chain,left,,,RC
30,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,otherD
30,UBS_RTb,dualbranch,left,bottom,RD_ID_RC,otherC
30,UAAS_RTb,dualbranch,left,top,RC_RD_ID,otherD
31,UBS_RTb,dualbranch,right,top,RD_ID_RC,IC
31,UBBS_RTb,dualbranch,right,top,RC_RD_ID,IC
31,UBAS_RTb,dualbranch,right,top,RD_RC_ID,IC
31,UABS_RTb,dualbranch,right,top,RD_RC_ID,IC
31,chainS_Rb,chain,right,,,IC
31,UAS_RTb,dualbranch,right,top,RD_ID_RC,IC
31,UAAS_RTb,dualbranch,right,top,RC_RD_ID,IC
32,UBS_RTb,dualbranch,left,top,RD_ID_RC,RD
32,UAS_RTb,dualbranch,left,top,RD_ID_RC,IC
32,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,IC
32,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,IC
32,chainS_Rb,chain,left,,,IC
32,UBAS_RTb,dualbranch,left,top,RD_RC_ID,IC
32,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,IC
33,chainS_Rb,chain,left,,,RC
33,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
33,UAAS_RTb,dualbranch,left,top,RC_RD_ID,RC
33,UAS_RTb,dualbranch,left,top,RD_ID_RC,RC
33,UBS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
33,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
33,UBAS_RTb,dualbranch,left,top,RD_RC_ID,RC
34,UABS_RTb,dualbranch,right,top,RD_RC_ID,RD
34,chainS_Rb,chain,right,,,RC
34,UAAS_RTb,dualbranch,right,top,RC_RD_ID,RD
34,UBAS_RTb,dualbranch,right,top,RD_RC_ID,RD
34,UBBS_RTb,dualbranch,right,top,RC_RD_ID,RC
34,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,RD
34,UAS_RTb,dualbranch,right,top,RD_ID_RC,RD
35,UAAS_RTb,dualbranch,left,top,RC_RD_ID,RD
