subject_id,stimulus,trial_type,time_elapsed,gender,age,language,country,sampling,turkcode,nb_of_run,rt,responses,stim_type,rolled_OR_unrolled,A_branch_loc,A_detectors,state_OR_event,state_branch,root_1st,imdt_2nd,node_selected
1,instruction,causal-graph1,6362,female,31,"English, Indonesian",United States of America,Right,R565304137610gxrw,,,,,,,,,,,,
1,instruction,causal-graph1,11076,female,31,"English, Indonesian",United States of America,Right,R565304137610gxrw,,,,,,,,,,,,
1,instruction,causal-graph1,23724,female,31,"English, Indonesian",United States of America,Right,R565304137610gxrw,1.0,,,,,,,,,,,
1,instruction,causal-graph1,29399,female,31,"English, Indonesian",United States of America,Right,R565304137610gxrw,,,,,,,,,,,,
1,instruction,causal-graph1,40590,female,31,"English, Indonesian",United States of America,Right,R565304137610gxrw,1.0,,,,,,,,,,,
1,instruction,causal-graph1,49595,female,31,"English, Indonesian",United States of America,Right,R565304137610gxrw,,,,,,,,,,,,
1,instruction,survey-multi-choice,70378,female,31,"English, Indonesian",United States of America,Right,R565304137610gxrw,,,"{""Q0"":"" To decide what caused the activation of G"",""Q1"":"" A detector becomes active if it absorbs a radioactive particle or receives input from an active detector"",""Q2"":"" G becomes active if all of its inputs are active""}",,,,,,,,,
1,instruction,causal-graph1,76268,female,31,"English, Indonesian",United States of America,Right,R565304137610gxrw,,,,,,,,,,,,
1,UAAS_RT,causal-graph1,98670,female,31,"English, Indonesian",United States of America,Right,R565304137610gxrw,1.0,19950.759999919686,,AND_Gate,Unrolled,Top,Squares,Event,,A,A,nodeA7
1,UABS_RB,causal-graph1,115311,female,31,"English, Indonesian",United States of America,Right,R565304137610gxrw,1.0,14289.954999927431,,AND_Gate,Unrolled,Bottom,Squares,Event,,A,B,nodeA41
1,UBBS_RT,causal-graph1,139833,female,31,"English, Indonesian",United States of America,Right,R565304137610gxrw,2.0,12181.330000050366,,AND_Gate,Unrolled,Top,Squares,Event,,B,B,nodeB6
1,UAS_RB,causal-graph1,156311,female,31,"English, Indonesian",United States of America,Right,R565304137610gxrw,1.0,13457.560000009837,,AND_Gate,Unrolled,Bottom,Squares,State,A,,B,nodeA41
1,chainS_R,causal-graph1,169821,female,31,"English, Indonesian",United States of America,Right,R565304137610gxrw,1.0,10690.350000048056,,ChainS,,,,,,,,nodeB9
1,UBS_RB,causal-graph1,184936,female,31,"English, Indonesian",United States of America,Right,R565304137610gxrw,1.0,12429.98000001535,,AND_Gate,Unrolled,Bottom,Squares,State,B,,A,nodeB19
1,UBAS_RT,causal-graph1,212073,female,31,"English, Indonesian",United States of America,Right,R565304137610gxrw,2.0,10832.470000023022,,AND_Gate,Unrolled,Top,Squares,Event,,B,A,nodeB14
1,instruction,causal-graph1,215019,female,31,"English, Indonesian",United States of America,Right,R565304137610gxrw,,,,,,,,,,,,
1,comment,survey-text,226175,female,31,"English, Indonesian",United States of America,Right,R565304137610gxrw,,11139.700000057926,"{""Q0"":""""}",,,,,,,,,
2,instruction,causal-graph1,36742,male,31,English,United States of America,Left,R568037847200gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,52517,male,31,English,United States of America,Left,R568037847200gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,1270817,male,31,English,United States of America,Left,R568037847200gxrw,2.0,,,,,,,,,,,
2,instruction,causal-graph1,1301167,male,31,English,United States of America,Left,R568037847200gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,1402862,male,31,English,United States of America,Left,R568037847200gxrw,1.0,,,,,,,,,,,
2,instruction,causal-graph1,1424045,male,31,English,United States of America,Left,R568037847200gxrw,,,,,,,,,,,,
2,instruction,survey-multi-choice,1491462,male,31,English,United States of America,Left,R568037847200gxrw,,,"{""Q0"":"" To decide what caused the activation of G"",""Q1"":"" A detector becomes active if it absorbs a radioactive particle or receives input from an active detector"",""Q2"":"" G becomes active if all of its inputs are active""}",,,,,,,,,
2,instruction,causal-graph1,1494542,male,31,English,United States of America,Left,R568037847200gxrw,,,,,,,,,,,,
2,UAS_LB,causal-graph1,1520672,male,31,English,United States of America,Left,R568037847200gxrw,1.0,22205.620000008028,,AND_Gate,Unrolled,Bottom,Squares,State,A,,B,nodeA27
2,UBS_LT,causal-graph1,1539853,male,31,English,United States of America,Left,R568037847200gxrw,1.0,17773.830000005433,,AND_Gate,Unrolled,Top,Squares,State,B,,A,nodeB8
2,UAAS_LB,causal-graph1,1554069,male,31,English,United States of America,Left,R568037847200gxrw,1.0,11323.835000002991,,AND_Gate,Unrolled,Bottom,Squares,Event,,A,A,nodeA7
2,UBBS_LB,causal-graph1,1566445,male,31,English,United States of America,Left,R568037847200gxrw,1.0,10251.860000003828,,AND_Gate,Unrolled,Bottom,Squares,Event,,B,B,nodeB2
2,UBAS_LT,causal-graph1,1583077,male,31,English,United States of America,Left,R568037847200gxrw,1.0,10636.100000003353,,AND_Gate,Unrolled,Top,Squares,Event,,B,A,nodeB4
2,chainS_L,causal-graph1,1594925,male,31,English,United States of America,Left,R568037847200gxrw,1.0,8851.390000010608,,ChainS,,,,,,,,nodeB9
2,UABS_LT,causal-graph1,1608925,male,31,English,United States of America,Left,R568037847200gxrw,1.0,12453.804999997374,,AND_Gate,Unrolled,Top,Squares,Event,,A,B,nodeA7
2,instruction,causal-graph1,1611980,male,31,English,United States of America,Left,R568037847200gxrw,,,,,,,,,,,,
2,comment,survey-text,1614476,male,31,English,United States of America,Left,R568037847200gxrw,,2485.87000000407,"{""Q0"":""""}",,,,,,,,,
3,instruction,causal-graph1,7767,male,47,english,United States of America,Right,R567007587810gxrw,,,,,,,,,,,,
3,instruction,causal-graph1,14646,male,47,english,United States of America,Right,R567007587810gxrw,,,,,,,,,,,,
3,instruction,causal-graph1,40368,male,47,english,United States of America,Right,R567007587810gxrw,1.0,,,,,,,,,,,
3,instruction,causal-graph1,51568,male,47,english,United States of America,Right,R567007587810gxrw,,,,,,,,,,,,
3,instruction,causal-graph1,71336,male,47,english,United States of America,Right,R567007587810gxrw,1.0,,,,,,,,,,,
3,instruction,causal-graph1,136610,male,47,english,United States of America,Right,R567007587810gxrw,,,,,,,,,,,,
3,instruction,survey-multi-choice,172423,male,47,english,United States of America,Right,R567007587810gxrw,,,"{""Q0"":"" To decide what caused the activation of G"",""Q1"":"" A detector becomes active if it absorbs a radioactive particle or receives input from an active detector"",""Q2"":"" G becomes active if all of its inputs are active""}",,,,,,,,,
3,instruction,causal-graph1,175867,male,47,english,United States of America,Right,R567007587810gxrw,,,,,,,,,,,,
3,chainS_R,causal-graph1,197548,male,47,english,United States of America,Right,R567007587810gxrw,1.0,18117.0,,ChainS,,,,,,,,nodeB9
3,UBBS_RT,causal-graph1,235142,male,47,english,United States of America,Right,R567007587810gxrw,1.0,28741.0,,AND_Gate,Unrolled,Top,Squares,Event,,B,B,nodeB2
